"Gene.names","mIMCD_1","mIMCD_2","mIMCD_3","mIMCD_4"
"RAB3B",26.63,29.53,32.66,34.74
"ST8SIA6",0,0,0,0
"FCGRT",13.06,18.56,14.96,15.51
"NOSIP",528.82,518.61,538.05,560.8
"PIH1D1",403.6,410.61,375.24,422.39
"RPS11",1702.22,1542.62,1469.55,1627.26
"SUPT5",1712.21,1770.7,1718.63,1752.46
"DLL3",0,0,0,0
"PAF1",629.98,583.86,608.86,607.89
"TIMM50",800.02,744.45,739.01,755.49
"MED29",188.22,190.12,201.71,183.2
"BICD1",135.73,143.71,163.31,132.09
"NCSTN",1733.72,1797.7,1785.05,1831.14
"PEX19",1305.03,1301.31,1292.02,1359.64
"PHYHIP",0.26,0,0.25,0
"CRHR2",0,0,0,0
"INMT",6.91,7.59,7.73,5.17
"CYP4F18",0,0,0,0
"IMPDH1",491.18,493.86,507.88,528.35
"PSG18",0,0,0,0
"DUSP3",610.43,638.42,691.14,639.19
"PRODH",143.67,147.37,146.61,138.12
"ESS2",734.21,719.42,726.05,710.12
"SLC25A1",920.38,895.2,891.6,905.95
"DGCR6",657.12,583.58,531.32,604.16
"DDR1",3850.8,3801.27,3934.17,3964.93
"IER3",2234.88,2206.63,2163.18,2052.53
"FOSB",223.82,228.09,209.94,175.16
"KLC4",407.18,409.49,430.59,431.01
"ERCC1",140.59,147.93,138.63,136.4
"CYP17A1",0.26,0,0.25,0
"AS3MT",0,0,0,0
"HOMER3",699.08,735.78,666.16,737.6
"CRTC1",469.41,455.89,478.71,472.93
"RNF215",225.87,249.74,246.34,228
"SEC14L2",179.26,195.46,199.21,204.74
"AVEN",86.56,95.62,92.25,101.65
"CP",1455.35,1427.59,1477.77,1434.3
"CROT",462.75,450.27,447.3,462.88
"RPS6KA1",735.49,740.23,741.01,741.7
"CALB2",0,0,0,0
"SNRNP200",2681.76,2743.8,2622.45,2425.53
"CIAO1",769.03,747.54,756.46,786.5
"HAS1",0,0,0.25,0
